id;start_date;end_date;language
1;2020-10-11T08:39:30;2020-10-11T06:29:45;SPANISH
2;2020-10-10T13:29:41;2020-10-11T08:34:06;SPANISH
3;2020-10-11T04:25:00;2020-10-10T14:59:09;FRENCH
4;2020-10-10T19:42:31;2020-10-11T07:13:57;FRENCH
5;2020-10-11T05:12:49;2020-10-11T09:59:48;FRENCH
6;2020-10-10T23:05:10;2020-10-11T11:13:24;FRENCH
7;2020-10-11T00:50:30;2020-10-10T18:41:21;FRENCH
8;2020-10-10T23:46:43;2020-10-11T10:02:51;SPANISH
9;2020-10-10T22:27:52;2020-10-10T19:09:15;SPANISH
10;2020-10-11T06:39:56;2020-10-10T17:14:26;SPANISH
